Map Document;MXD Path;DataFrame Name;DataFrame Description;Data Name;Layer name;Layer Datasource;DB User
50_Wolf_Rd_Cubes.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\50_Wolf_Rd_Cubes.mxd;50 Wolf Road;None;GIS.Floorplan_Outline;Outline;C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\agsdev01@osd4host.sde\GIS.Floorplan_Outline;agsdev01@osd4host.sde
50_Wolf_Rd_Cubes.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\50_Wolf_Rd_Cubes.mxd;50 Wolf Road;None;GIS.FloorPlan_Cubes;Occupied;C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\agsdev01@osd4host.sde\GIS.FloorPlan_Cubes;agsdev01@osd4host.sde
50_Wolf_Rd_Cubes.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\50_Wolf_Rd_Cubes.mxd;50 Wolf Road;None;GIS.FloorPlan_Cubes;Vacant;C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\agsdev01@osd4host.sde\GIS.FloorPlan_Cubes;agsdev01@osd4host.sde
50_Wolf_Rd_Cubes.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\50_Wolf_Rd_Cubes.mxd;50 Wolf Road;None;GIS.Floorplan_Conf_Rooms;Conference Rooms;C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\agsdev01@osd4host.sde\GIS.Floorplan_Conf_Rooms;agsdev01@osd4host.sde
50_Wolf_Rd_Cubes.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\50_Wolf_Rd_Cubes.mxd;50 Wolf Road;None;GIS.FloorPlan_Cubes;Cube Search;C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\agsdev01@osd4host.sde\GIS.FloorPlan_Cubes;agsdev01@osd4host.sde
ActiveProjects_GCTX.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\ActiveProjects_GCTX.mxd;Layers;None;GIS.ActiveBridgeProjectsWM;Bridge Projects;C:\Users\khunt\AppData\Roaming\ESRI\Desktop10.2\ArcCatalog\ags03@gisphost.sde\GIS.ActiveBridgeProjectsWM;ags03@gisphost.sde
ActiveProjects_GCTX.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\ActiveProjects_GCTX.mxd;Layers;None;N/A2;Highway Projects;N/A;N/A
ActiveProjects_GCTX.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\ActiveProjects_GCTX.mxd;Layers;None;GIS.ActiveHighwayProjectsPtsWM;Hwy Proj Points;C:\Users\khunt\AppData\Roaming\ESRI\Desktop10.2\ArcCatalog\ags03@gisphost.sde\GIS.ActiveHighwayProjectsPtsWM;ags03@gisphost.sde
ActiveProjects_GCTX.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\ActiveProjects_GCTX.mxd;Layers;None;GIS.ActiveHighwayProjectsWM;Hwy Proj Lines;C:\Users\khunt\AppData\Roaming\ESRI\Desktop10.2\ArcCatalog\ags03@gisphost.sde\GIS.ActiveHighwayProjectsWM;ags03@gisphost.sde
ActiveProjects_GCTX.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\ActiveProjects_GCTX.mxd;Layers;None;GIS.ActiveLocatedProjectsWM;Located Projects;C:\Users\khunt\AppData\Roaming\ESRI\Desktop10.2\ArcCatalog\ags03@gisphost.sde\GIS.ActiveLocatedProjectsWM;ags03@gisphost.sde
ActiveProjects_SelByLoc.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\ActiveProjects_SelByLoc.mxd;Layers;None;SelectByLoc;SelectByLoc;E:\Projects\ActiveProj_SelByLoc\AP_SelByLoc.gdb\SelectByLoc;N/A
AgileAssets.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\AgileAssets.mxd;Layers;None;FW.Bridge;Bridges;C:\Documents and Settings\hkovacs\Application Data\ESRI\ArcCatalog\DC_agsdev01@osd4host.sde\FW.Bridge;DC_agsdev01@osd4host.sde
AgileAssets.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\AgileAssets.mxd;Layers;None;FW.ReferenceMarker;Reference Marker;C:\Documents and Settings\hkovacs\Application Data\ESRI\ArcCatalog\DC_agsdev01@osd4host.sde\FW.ReferenceMarker;DC_agsdev01@osd4host.sde
AgileAssets.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\AgileAssets.mxd;Layers;None;FW.DOTRegionsShoreline;DOT Regions;C:\Documents and Settings\hkovacs\Application Data\ESRI\ArcCatalog\DC_agsdev01@osd4host.sde\FW.DOTRegionsShoreline;DC_agsdev01@osd4host.sde
AgileAssets.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\AgileAssets.mxd;Layers;None;FW.MilepointRoute;Milepoint;C:\Documents and Settings\hkovacs\Application Data\ESRI\ArcCatalog\DC_agsdev01@osd4host.sde\FW.MilepointRoute;DC_agsdev01@osd4host.sde
BikeRoutes.mxd;C:\Users\csmith1\LocalWorkSpace\ServerMxds\BikeRoutes.mxd;Layers;None;GIS.SV_BIKEROUTES_DEV;On Public Bike Map;C:\Users\rizzor\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\DC_agsdev01@osd4host.sde\GIS.SV_BIKEROUTES_DEV;DC_agsdev01@osd4host.sde
