DataName;UsedInMxd;CountUsed
AGSDEV01.VERSION_1_ROW_LOCKS;No;0
ENVGIS.IA_Communities_palustrine;No;0
ENVGIS.DEC303d_polys;Yes;2
ENVGIS.lines;Yes;2
ENVGIS.DEC_wtrcls_line;Yes;3
ENVGIS.IA_Birds_SaltMarsh;No;0
ENVGIS.NationalRegisterListed;Yes;2
ENVGIS.points;Yes;2
ENVGIS.nr_all_May06;No;0
ENVGIS.springs;Yes;2
ENVGIS.tri;Yes;2
ENVGIS.archeology;Yes;2
ENVGIS.hwys;Yes;2
ENVGIS.IA_PalustrineABasic_PWarbler;No;0
ENVGIS.invasives_points_combined;Yes;2
ENVGIS.ozone_new;Yes;2
ENVGIS.pm10_shore;Yes;2
ENVGIS.mines05;Yes;2
ENVGIS.arcs_060602;Yes;1
ENVGIS.Floodplain;Yes;2
ENVGIS.invasives_poly_combined;Yes;2
ENVGIS.reg_ms4;Yes;2
ENVGIS.IA_EasternSpadefootToad;No;0
ENVGIS.dde;No;0
ENVGIS.LargeCulvert_ElPriorities;Yes;2
ENVGIS.nonattainment_intersections;Yes;2
ENVGIS.DEC_wtrcls_poly;Yes;3
ENVGIS.nycso;Yes;2
ENVGIS.Invasive_Plants;Yes;2
ENVGIS.decwet_arcs;Yes;2
ENVGIS.national_parks;Yes;2
ENVGIS.IA_Tiger_Salamander;No;0
ENVGIS.hwcm_reports;Yes;2
ENVGIS.bin_rcra_new;Yes;2
ENVGIS.Coastal_boundaries;Yes;2
ENVGIS.historic_canal_structures;Yes;2
ENVGIS.VRA_2008_pts;Yes;2
ENVGIS.dva_1995_with_rm_count;Yes;2
ENVGIS.NHD_point;Yes;2
ENVGIS.dva2000_with_rm_count;Yes;2
ENVGIS.coalgas;Yes;2
ENVGIS.VRA_2008_lines;Yes;2
ENVGIS.nwi_poly;Yes;2
ENVGIS.current_canal_alignment;Yes;2
ENVGIS.scenic_areas;Yes;2
ENVGIS.nonattainment_int_buffer;Yes;2
ENVGIS.invasives_lines_combined;Yes;2
ENVGIS.part_203;Yes;2
ENVGIS.historic_canal_alignment;Yes;2
ENVGIS.fishing_access;Yes;2
ENVGIS.IA_Tiger_Salamander_historical;No;0
ENVGIS.DEC_regions;Yes;2
ENVGIS.cover_type_polygons;Yes;3
ENVGIS.regulatory_polygons;Yes;3
ENVGIS.intakes;Yes;2
ENVGIS.desig_rivers_poly;Yes;2
ENVGIS.apalandclass;Yes;4
ENVGIS.Coastal_habitats;Yes;2
ENVGIS.surficial;Yes;2
ENVGIS.CONUS_wet_linears_utm;Yes;1
ENVGIS.ny_ssa;Yes;2
ENVGIS.ag_districts_060217;Yes;2
ENVGIS.Scenic_Byways;Yes;2
ENVGIS.cover_type_arcs;Yes;3
ENVGIS.buffer100foot;Yes;2
