Map Document	MXD Path	DataFrame Name	DataFrame Description	Data Name	Layer name	Layer Datasource	DB User
50_Wolf_Rd_Cubes.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes.mxd	50 Wolf Road	None	GIS.Floorplan_Outline	Outline	C:\Users\spilli\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.Floorplan_Outline	ags01@gisphost.sde
50_Wolf_Rd_Cubes.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes.mxd	50 Wolf Road	None	GIS.FloorPlan_Cubes	Occupied	C:\Users\spilli\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.FloorPlan_Cubes	ags01@gisphost.sde
50_Wolf_Rd_Cubes.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes.mxd	50 Wolf Road	None	GIS.FloorPlan_Cubes	Vacant	C:\Users\spilli\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.FloorPlan_Cubes	ags01@gisphost.sde
50_Wolf_Rd_Cubes.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes.mxd	50 Wolf Road	None	GIS.Floorplan_Conf_Rooms	Conference Rooms	C:\Users\spilli\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.Floorplan_Conf_Rooms	ags01@gisphost.sde
50_Wolf_Rd_Cubes.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes.mxd	50 Wolf Road	None	GIS.FloorPlan_Cubes	Cube Search	C:\Users\spilli\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.FloorPlan_Cubes	ags01@gisphost.sde
50_Wolf_Rd_Cubes_prod.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes_prod.mxd	50 Wolf Road	None	GIS.Floorplan_Outline	Outline	C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.Floorplan_Outline	ags01@gisphost.sde
50_Wolf_Rd_Cubes_prod.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes_prod.mxd	50 Wolf Road	None	GIS.FloorPlan_Cubes	Occupied	C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.FloorPlan_Cubes	ags01@gisphost.sde
50_Wolf_Rd_Cubes_prod.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes_prod.mxd	50 Wolf Road	None	GIS.FloorPlan_Cubes	Vacant	C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.FloorPlan_Cubes	ags01@gisphost.sde
50_Wolf_Rd_Cubes_prod.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes_prod.mxd	50 Wolf Road	None	GIS.Floorplan_Conf_Rooms	Conference Rooms	C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.Floorplan_Conf_Rooms	ags01@gisphost.sde
50_Wolf_Rd_Cubes_prod.mxd	\\wvmoap137\e$\temp\wvmoap_138_132\50_Wolf_Rd_Cubes_prod.mxd	50 Wolf Road	None	GIS.FloorPlan_Cubes	Cube Search	C:\Users\pillis\AppData\Roaming\ESRI\Desktop10.1\ArcCatalog\ags01@gisphost.sde\GIS.FloorPlan_Cubes	ags01@gisphost.sde
