Data Name;MxdUsedIn;CountPerMxd;CountTotal
ENVGIS.IA_Communities_palustrine;No Map Using;0;0
GIS.R7_Traffic_Control_Devices;R7Data (2).mxd;1;1
ENVGIS.DEC303d_polys;envviewer.mxd;1;1
ENVGIS.lines;envviewer.mxd;1;1
ENVGIS.DEC_wtrcls_line;envviewer.mxd;1;2
ENVGIS.DEC_wtrcls_line;NaturalHeritage.mxd;1;2
ENVGIS.IA_Birds_SaltMarsh;No Map Using;0;0
GIS.BDMS_BRIDGE_INV_DATA;CAMCI_backup.mxd;2;4
GIS.BDMS_BRIDGE_INV_DATA;CAMCI_BDMS.mxd;2;4
GIS.R7_2009_Parcel_Centroids;No Map Using;0;0
FW.CountySeat;R7Data (2).mxd;1;1
FW.PostalBoundary;envviewer.mxd;1;2
FW.PostalBoundary;R7Data (2).mxd;1;2
GIS.UTICA125;No Map Using;0;0
GIS.LargeCulverts_old;No Map Using;0;0
ENVGIS.nr_all_May06;No Map Using;0;0
FW.EconomicDevelopmentZones;R7Data (2).mxd;1;2
FW.EconomicDevelopmentZones;SCFPBP.mxd;1;2
GIS.SP_Truck_Access_Routes;R7Data (2).mxd;1;1
GIS.PoliceHeliports;No Map Using;0;0
FW.CountyRecreation;envviewer.mxd;1;1
FW.MajorRetailCenter;No Map Using;0;0
ENVGIS.dec_permitted_facility;envviewer.mxd;1;1
ENVGIS.springs;envviewer.mxd;1;1
ENVGIS.tri;envviewer.mxd;1;1
GISLINK.MV_GIS_STKPL_STATUS;No Map Using;0;0
GIS.R7_Linear_Contracts;R7RoadHistory.mxd;1;1
ENVGIS.archeology;envviewer.mxd;1;1
GIS.POUGHKEEPSIE125;No Map Using;0;0
GIS.SignalizedIntersect__AT;No Map Using;0;0
ENVGIS.hwys;envviewer.mxd;1;1
GIS.UnbuiltArterial;osowscreen.mxd;1;4
GIS.UnbuiltArterial;osowscreen_new_fields.mxd;1;4
GIS.UnbuiltArterial;PST.mxd;1;4
GIS.UnbuiltArterial;pst_bdms.mxd;1;4
FW.IndianReservation;envviewer.mxd;1;2
FW.IndianReservation;R7Data (2).mxd;1;2
GIS.ClosedAviation;No Map Using;0;0
ENVGIS.IA_PalustrineABasic_PWarbler;No Map Using;0;0
GIS.PublicAirports;No Map Using;0;0
FW.Library;No Map Using;0;0
SPDES.Stormwater_Outfall;envviewer.mxd;1;1
FW.NYAssemblyDistricts;CAMCI.mxd;1;5
FW.NYAssemblyDistricts;CAMCI_backup.mxd;1;5
FW.NYAssemblyDistricts;CAMCI_BDMS.mxd;1;5
FW.NYAssemblyDistricts;NYBoundaries.mxd;1;5
FW.NYAssemblyDistricts;R7Data (2).mxd;1;5
GIS.R1C_Point_Contracts;r1_Contracts (2).mxd;1;1
ENVGIS.invasives_points_combined;envviewer.mxd;1;1
ENVGIS.ozone_new;envviewer.mxd;1;1
ENVGIS.pm10_shore;envviewer.mxd;1;1
GISLINK.MV_GIS_PSS_HIGHWAY_QA;No Map Using;0;0
GIS.Specialty_PIL;CAMCI.mxd;1;3
GIS.Specialty_PIL;CAMCI_backup.mxd;1;3
GIS.Specialty_PIL;CAMCI_BDMS.mxd;1;3
GIS.NYVertical;No Map Using;0;0
FW.NYSenateDistricts;CAMCI.mxd;1;5
FW.NYSenateDistricts;CAMCI_backup.mxd;1;5
FW.NYSenateDistricts;CAMCI_BDMS.mxd;1;5
FW.NYSenateDistricts;NYBoundaries.mxd;1;5
FW.NYSenateDistricts;R7Data (2).mxd;1;5
GIS.FloorPlan_Features;Wolf_Rd_Base.mxd;1;1
GIS.SMALL_CULVERTS;CAMCI.mxd;1;5
GIS.SMALL_CULVERTS;CAMCI_backup.mxd;1;5
GIS.SMALL_CULVERTS;CAMCI_BDMS.mxd;1;5
GIS.SMALL_CULVERTS;envviewer.mxd;1;5
GIS.SMALL_CULVERTS;R7Data (2).mxd;1;5
ENVGIS.arcs_060602;NaturalHeritage.mxd;1;1
FW.MunicipalRecreation;envviewer.mxd;1;1
ENVGIS.Floodplain;envviewer.mxd;1;1
ENVGIS.ag_districts_060217;envviewer.mxd;1;1
GIS.WESTLONG125;No Map Using;0;0
FW.TollPlaza;R7Data (2).mxd;1;1
GIS.RDV_QuadIndex;R7Data (2).mxd;1;1
GIS.IdealSites;mesonet.mxd;1;1
GIS.GIS_R7_Adopt_A_Highway_New;No Map Using;0;0
GIS.R7_Speed_Limit;R7Data (2).mxd;1;1
GIS.R7_Linear_Contract;No Map Using;0;0
FW.TouristInfo;No Map Using;0;0
GIS.NonStateTouringRoutes_09162015;PST.mxd;1;1
ENVGIS.bedrock;envviewer.mxd;1;1
GIS.BridgePermitData;No Map Using;0;0
ENVGIS.invasives_poly_combined;envviewer.mxd;1;1
GIS.EmergencyEventPhotos;RSDA (1).mxd;1;2
GIS.EmergencyEventPhotos;RSDAdelete.mxd;1;2
ENVGIS.spills_mar_04_material;envviewer.mxd;1;1
ENVGIS.NationalRegisterListed;envviewer.mxd;1;1
FW.StateShoreline;No Map Using;0;0
FW.AdirondackCatskill;envviewer.mxd;1;1
GIS.Counties;No Map Using;0;0
ENVGIS.reg_ms4;envviewer.mxd;1;1
ENVGIS.IA_EasternSpadefootToad;No Map Using;0;0
GIS.TRAVELRESTRICTIONS1;osowscreen.mxd;1;2
GIS.TRAVELRESTRICTIONS1;PST.mxd;1;2
FW.VAHospital;No Map Using;0;0
ENVGIS.dde;No Map Using;0;0
FW.Exit;osowscreen.mxd;1;2
FW.Exit;osowscreen_new_fields.mxd;1;2
ENVGIS.LargeCulvert_ElPriorities;envviewer.mxd;1;1
FW.ServiceArea;No Map Using;0;0
GIS.AD_Upstate_Accident_Events;No Map Using;0;0
GIS.RD_Railroad_Removed_Search;RailDataViewer2.mxd;1;1
ENVGIS.nonattainment_intersections;envviewer.mxd;1;1
GISLINK.MV_BORING_PROJ_GIS_QA;No Map Using;0;0
GISLINK.MV_GIS_PSS_BRIDGE_QA;No Map Using;0;0
ENVGIS.DEC_wtrcls_poly;envviewer.mxd;1;2
ENVGIS.DEC_wtrcls_poly;NaturalHeritage.mxd;1;2
FW.Hospital;CAMCI.mxd;1;4
FW.Hospital;CAMCI_backup.mxd;1;4
FW.Hospital;CAMCI_BDMS.mxd;1;4
FW.Hospital;R7Data (2).mxd;1;4
ENVGIS.mines05;envviewer.mxd;1;1
GIS.R7_2008_HAL;No Map Using;0;0
GIS.AADT_Current;TDV.mxd;1;1
ENVGIS.nycso;envviewer.mxd;1;1
GIS.DOT_Stockpile_Facilities_1;No Map Using;0;0
GIS.CPU_PavementNeedsWithDesc;CAMCI.mxd;3;9
GIS.CPU_PavementNeedsWithDesc;CAMCI_backup.mxd;3;9
GIS.CPU_PavementNeedsWithDesc;CAMCI_BDMS.mxd;3;9
ENVGIS.Invasive_Plants;envviewer.mxd;1;1
GIS.gnisFeature;No Map Using;0;0
GIS.R7_Bridge_Inspection;R7Data (2).mxd;1;1
GIS.CPU_BRIDGE_INV_CWS;CAMCI.mxd;1;3
GIS.CPU_BRIDGE_INV_CWS;CAMCI_backup.mxd;1;3
GIS.CPU_BRIDGE_INV_CWS;CAMCI_BDMS.mxd;1;3
ENVGIS.decwet_arcs;envviewer.mxd;1;1
GISLINK.MV_GIS_SCIIS_DATA_QA;No Map Using;0;0
RSDA.ROAD_STATUSfromDev;No Map Using;0;0
GIS.NonStateTouringRoute;osowscreen.mxd;1;3
GIS.NonStateTouringRoute;osowscreen_new_fields.mxd;1;3
GIS.NonStateTouringRoute;pst_bdms.mxd;1;3
FW.NortheastStates;No Map Using;0;0
GISLINK.MV_GIS_MEXIS_BIKING_QA;No Map Using;0;0
GIS.RD_Freight_Stations;RailDataViewer.mxd;1;2
GIS.RD_Freight_Stations;RailDataViewer2.mxd;1;2
GIS.NYWORKS_Highway_PTS;No Map Using;0;0
ENVGIS.decwet_poly;envviewer.mxd;1;1
GIS.AD_Upstate_HAL_2009;No Map Using;0;0
GIS.STOCKPILE_STATUS;maintviewer.mxd;7;28
GIS.STOCKPILE_STATUS;maintviewerMarch2-2018.mxd;7;28
GIS.STOCKPILE_STATUS;maintviewer_backup.mxd;7;28
GIS.STOCKPILE_STATUS;Maint_StockpileStatus.mxd;7;28
