DataName;UsedInMxd;CountUsed
ENVGIS.IA_Communities_palustrine;No;0
ENVGIS.DEC303d_polys;Yes;1
ENVGIS.lines;Yes;1
ENVGIS.DEC_wtrcls_line;Yes;2
ENVGIS.IA_Birds_SaltMarsh;No;0
ENVGIS.nr_all_May06;No;0
ENVGIS.dec_permitted_facility;Yes;1
ENVGIS.springs;Yes;1
ENVGIS.tri;Yes;1
ENVGIS.archeology;Yes;1
ENVGIS.hwys;Yes;1
ENVGIS.IA_PalustrineABasic_PWarbler;No;0
ENVGIS.invasives_points_combined;Yes;1
ENVGIS.ozone_new;Yes;1
ENVGIS.pm10_shore;Yes;1
ENVGIS.arcs_060602;Yes;1
ENVGIS.Floodplain;Yes;1
ENVGIS.ag_districts_060217;Yes;1
ENVGIS.bedrock;Yes;1
ENVGIS.invasives_poly_combined;Yes;1
ENVGIS.spills_mar_04_material;Yes;1
ENVGIS.NationalRegisterListed;Yes;1
ENVGIS.reg_ms4;Yes;1
ENVGIS.IA_EasternSpadefootToad;No;0
ENVGIS.dde;No;0
ENVGIS.LargeCulvert_ElPriorities;Yes;1
ENVGIS.nonattainment_intersections;Yes;1
ENVGIS.DEC_wtrcls_poly;Yes;2
ENVGIS.mines05;Yes;1
ENVGIS.nycso;Yes;1
ENVGIS.Invasive_Plants;Yes;1
ENVGIS.decwet_arcs;Yes;1
ENVGIS.decwet_poly;Yes;1
ENVGIS.national_parks;Yes;1
ENVGIS.IA_Tiger_Salamander;No;0
ENVGIS.AdirondackTest;No;0
ENVGIS.hwcm_reports;Yes;1
ENVGIS.nyfaults;Yes;1
ENVGIS.bin_rcra_new;Yes;1
ENVGIS.Coastal_boundaries;Yes;1
ENVGIS.historic_canal_structures;Yes;1
ENVGIS.points;Yes;1
ENVGIS.dec11_new;Yes;1
ENVGIS.quads;Yes;1
ENVGIS.VRA_2008_pts;Yes;1
ENVGIS.dva_1995_with_rm_count;Yes;1
ENVGIS.NHD_point;Yes;1
ENVGIS.dva2000_with_rm_count;Yes;1
ENVGIS.coalgas;Yes;1
ENVGIS.VRA_2008_lines;Yes;1
ENVGIS.current_canal_alignment;Yes;1
ENVGIS.scenic_areas;Yes;1
ENVGIS.nonattainment_int_buffer;Yes;1
ENVGIS.invasives_lines_combined;Yes;1
ENVGIS.nwi_poly;Yes;1
ENVGIS.historic_canal_alignment;Yes;1
ENVGIS.fishing_access;Yes;1
ENVGIS.IA_Tiger_Salamander_historical;No;0
ENVGIS.DEC_regions;Yes;1
ENVGIS.cover_type_polygons;Yes;2
ENVGIS.regulatory_polygons;Yes;2
ENVGIS.intakes;Yes;1
ENVGIS.desig_rivers_poly;Yes;1
ENVGIS.apalandclass;Yes;2
ENVGIS.Coastal_habitats;Yes;1
ENVGIS.surficial;Yes;1
ENVGIS.CONUS_wet_linears_utm;Yes;1
ENVGIS.ny_ssa;Yes;1
ENVGIS.Scenic_Byways;Yes;1
ENVGIS.cover_type_arcs;Yes;2
ENVGIS.polygons;Yes;1
ENVGIS.hwys_1;No;0
ENVGIS.NHD_waterbodies;Yes;1
ENVGIS.NY_Aquifers_region;Yes;1
ENVGIS.polygons_060602;Yes;1
ENVGIS.regulatory_arcs;Yes;2
ENVGIS.tmdl_basins;Yes;1
ENVGIS.tbins;Yes;1
ENVGIS.farm_si_110429;Yes;1
ENVGIS.hydric_soils_110429;Yes;1
ENVGIS.ny_tri;Yes;1
ENVGIS.DEC303d_lines;Yes;1
ENVGIS.nynhp_dot_comms;Yes;1
ENVGIS.remediation_sites;Yes;1
ENVGIS.phosrestr24;Yes;1
ENVGIS.cr_reports;Yes;1
ENVGIS.IA_SouthernLeopardFrog;No;0
ENVGIS.NHD_SubBasins;Yes;1
ENVGIS.IA_PeregrineFalcon;No;0
ENVGIS.duct24;Yes;1
ENVGIS.dva_pip;Yes;1
ENVGIS.Env_easement;Yes;1
ENVGIS.wells;Yes;1
ENVGIS.historic_bridges;Yes;1
ENVGIS.nri_join;Yes;1
ENVGIS.IA_FenceLizard;No;0
ENVGIS.IA_Birds_SaltMarsh_historical;No;0
ENVGIS.co_new;Yes;1
ENVGIS.nwi_arcs;Yes;1
ENVGIS.NHD_Area;Yes;1
ENVGIS.NHD_flowline;Yes;1
ENVGIS.landuse;Yes;1
ENVGIS.buffer_060602;Yes;1
ENVGIS.SmallCulvers_EPriorities;Yes;1
ENVGIS.ny_npl;Yes;1
ENVGIS.stream24;Yes;1
ENVGIS.ny_cerclis;Yes;1
ENVGIS.potential_ej_areas;Yes;1
ENVGIS.dec_land;Yes;1
ENVGIS.primefarm_110429;Yes;1
ENVGIS.nynhp_dot_potential;Yes;1
ENVGIS.IA_S_Leopard_Frog_historical;No;0
ENVGIS.IA_Wormsnake;No;0
ENVGIS.part_203;Yes;1
ENVGIS.tidal;Yes;2
ENVGIS.hydric_soils;Yes;1
ENVGIS.haz_subst_merged;Yes;1
ENVGIS.state_acquis;Yes;1
ENVGIS.primaqu;Yes;1
ENVGIS.IA_Birds_Woodland_KWarbler;No;0
ENVGIS.buffer100foot;Yes;1
ENVGIS.nynhp_dot_known;Yes;1
ENVGIS.oilgas_wells05;Yes;1
ENVGIS.CONUS_wet_poly_utm;Yes;1
ENVGIS.dva_1990_w_count_by_rm;Yes;1
ENVGIS.pm25;Yes;1
ENVGIS.basin24;Yes;1
ENVGIS.city48;Yes;1
ENVGIS.phys_provinces;Yes;1
ENVGIS.r3_dumdum;Yes;1
FW.CountySeat;Yes;1
FW.PostalBoundary;Yes;2
FW.EconomicDevelopmentZones;Yes;2
FW.CountyRecreation;Yes;1
FW.MajorRetailCenter;No;0
FW.IndianReservation;Yes;2
FW.Library;No;0
FW.NYAssemblyDistricts;Yes;5
FW.NYSenateDistricts;Yes;5
